FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.11584763214152E+03,-0.31979092233201E+02, -0.4907533E-01,          16,  0.2814070E+05,          79
, 0.11583791437859E+03,-0.31981038730283E+02, -0.9065787E+00,          16,  0.3695789E+05,          80
, 0.11583589110919E+03,-0.31981526912216E+02, -0.1086594E+01,          16,  0.1416183E+05,          81
, 0.11583689744074E+03,-0.31981826911821E+02, -0.6067537E+00,          16,  0.1285226E+05,          82
, 0.11582973711010E+03,-0.31973503812931E+02, -0.2597805E+01,          16,  0.1888755E+05,          83
, 0.11583051084333E+03,-0.31974810417702E+02, -0.4239006E+01,          16,  0.3649619E+05,          84
, 0.11583108342761E+03,-0.31976449737601E+02, -0.4894958E+01,          16,  0.3560490E+05,          85
, 0.11582859477645E+03,-0.31973133379856E+02, -0.1167692E+01,          16,  0.1992369E+05,          86
, 0.11583090738565E+03,-0.31978345760503E+02, -0.5011903E+01,          16,  0.3460283E+05,          87
, 0.11583230810986E+03,-0.31978165845738E+02, -0.4969918E+01,          16,  0.1657043E+05,          88
, 0.11583314962221E+03,-0.31979372907700E+02, -0.4147454E+01,          16,  0.3346802E+05,          89
, 0.11583403143500E+03,-0.31980929330268E+02, -0.2619462E+01,          16,  0.2976123E+05,          90
, 0.11583510586886E+03,-0.31982295690164E+02, -0.1339626E+01,          16,  0.2285196E+05,          91
, 0.11584195991107E+03,-0.31982040360199E+02, -0.3539148E+00,          16,  0.2965704E+05,          92
, 0.11584338497868E+03,-0.31981261446390E+02, -0.2180976E+00,          16,  0.3174608E+05,          93
, 0.11584501978539E+03,-0.31981173755447E+02, -0.9207232E-01,          16,  0.3257662E+05,          94
, 0.11583894777672E+03,-0.31982073179115E+02, -0.6729967E+00,          16,  0.1502520E+05,          95
, 0.11584000944278E+03,-0.31981890212193E+02, -0.6621591E+00,          16,  0.1394183E+05,          96
, 0.11584068962305E+03,-0.31983133469810E+02, -0.5263101E+00,          16,  0.3145602E+05,          97
, 0.11584669999967E+03,-0.31981246695988E+02, -0.2228911E-01,          16,  0.2847356E+05,          98
, 0.11584820424434E+03,-0.31980824389031E+02, -0.4467894E-01,          16,  0.2930893E+05,          99
, 0.11583728338389E+03,-0.31983453261770E+02, -0.7593917E+00,          16,  0.3595852E+05,         100
, 0.11583902336719E+03,-0.31983520122755E+02, -0.6589037E+00,          16,  0.3664007E+05,         101
, 0.11583613244199E+03,-0.31983347677494E+02, -0.8689514E+00,          16,  0.1048182E+05,         102
, 0.11582721023777E+03,-0.31973863177307E+02, -0.1492434E+01,          16,  0.4012013E+05,         103
, 0.11582860453250E+03,-0.31975353364825E+02, -0.3826660E+01,          16,  0.3744851E+05,         104
, 0.11582920618592E+03,-0.31977030407617E+02, -0.4739870E+01,          16,  0.3615529E+05,         105
, 0.11582923924415E+03,-0.31978968034623E+02, -0.5019629E+01,          16,  0.3560696E+05,         106
, 0.11583159552042E+03,-0.31980156479595E+02, -0.4495689E+01,          16,  0.3658704E+05,         107
, 0.11582929051493E+03,-0.31980947796026E+02, -0.5120812E+01,          16,  0.3205601E+05,         108
, 0.11583062644075E+03,-0.31980974479088E+02, -0.4688426E+01,          16,  0.1830021E+05,         109
, 0.11583282973954E+03,-0.31981828866051E+02, -0.3036652E+01,          16,  0.3163641E+05,         110
, 0.11583421271404E+03,-0.31983267383850E+02, -0.1622992E+01,          16,  0.2684701E+05,         111
, 0.11583554177547E+03,-0.31983956845558E+02, -0.1094404E+01,          16,  0.1255336E+05,         112
, 0.11584272910931E+03,-0.31983217445743E+02, -0.4460634E+00,          16,  0.1584891E+05,         113
, 0.11584409221885E+03,-0.31983030218456E+02, -0.4108415E+00,          16,  0.3128622E+05,         114
, 0.11584135161310E+03,-0.31984901332744E+02, -0.7364965E+00,          16,  0.3264959E+05,         115
, 0.11584255910917E+03,-0.31984298212350E+02, -0.5728723E+00,          16,  0.1754548E+05,         116
, 0.11584578059576E+03,-0.31982962514075E+02, -0.2183115E+00,          16,  0.3114720E+05,         117
, 0.11584744421174E+03,-0.31982890933077E+02, -0.4192434E-01,          16,  0.2776220E+05,         118
, 0.11583963071517E+03,-0.31985271254799E+02, -0.1059406E+01,          16,  0.3337659E+05,         119
, 0.11584901096378E+03,-0.31982363281524E+02, -0.4232923E-01,          16,  0.3093476E+05,         120
, 0.11583765083917E+03,-0.31985415658840E+02, -0.1272703E+01,          16,  0.4046893E+05,         121
, 0.11583573854272E+03,-0.31985352345824E+02, -0.1451655E+01,          16,  0.3640927E+05,         122
, 0.11582544971098E+03,-0.31974646827347E+02, -0.1728411E+01,          16,  0.3429366E+05,         123
, 0.11582676454726E+03,-0.31976051439726E+02, -0.3690861E+01,          16,  0.3787243E+05,         124
, 0.11582738073822E+03,-0.31977768478764E+02, -0.4620262E+01,          16,  0.3883625E+05,         125
, 0.11582758289182E+03,-0.31979699897625E+02, -0.4943318E+01,          16,  0.3435992E+05,         126
, 0.11582786644341E+03,-0.31981054912567E+02, -0.5102984E+01,          16,  0.1473866E+05,         127
, 0.11583148867658E+03,-0.31982506303579E+02, -0.3845142E+01,          16,  0.3517604E+05,         128
, 0.11582922577687E+03,-0.31982382378688E+02, -0.4979287E+01,          16,  0.1410631E+05,         129
, 0.11583021546515E+03,-0.31983455806381E+02, -0.4855024E+01,          16,  0.3397778E+05,         130
, 0.11582681385712E+03,-0.31981928611826E+02, -0.4925388E+01,          16,  0.3194991E+05,         131
, 0.11582816871049E+03,-0.31983202717733E+02, -0.5085014E+01,          16,  0.3179662E+05,         132
, 0.11583223268149E+03,-0.31984364720126E+02, -0.3149291E+01,          16,  0.3205493E+05,         133
, 0.11583356210845E+03,-0.31984166278984E+02, -0.1927631E+01,          16,  0.1434838E+05,         134
, 0.11583404563151E+03,-0.31985552049307E+02, -0.2115145E+01,          16,  0.3135796E+05,         135
, 0.11584345113529E+03,-0.31985561655757E+02, -0.8988098E+00,          16,  0.3458628E+05,         136
, 0.11584487547354E+03,-0.31984728841609E+02, -0.9472529E+00,          16,  0.3156237E+05,         137
, 0.11584664157566E+03,-0.31984633893444E+02, -0.6312692E+00,          16,  0.3122673E+05,         138
, 0.11584216770714E+03,-0.31986569617193E+02, -0.1108918E+01,          16,  0.3218078E+05,         139
, 0.11583994644278E+03,-0.31986686512069E+02, -0.1488082E+01,          16,  0.1615539E+05,         140
, 0.11584092118140E+03,-0.31987684464060E+02, -0.1699043E+01,          16,  0.3028879E+05,         141
, 0.11584839292251E+03,-0.31984429391995E+02, -0.1274576E+00,          16,  0.3186346E+05,         142
, 0.11584998729921E+03,-0.31983923612160E+02, -0.4780258E-01,          16,  0.3210010E+05,         143
, 0.11583794411124E+03,-0.31986791946438E+02, -0.1824186E+01,          16,  0.1735785E+05,         144
, 0.11583899710986E+03,-0.31987225779063E+02, -0.1892692E+01,          16,  0.1757057E+05,         145
, 0.11583577172930E+03,-0.31987309260367E+02, -0.2723874E+01,          16,  0.3782282E+05,         146
, 0.11583708911029E+03,-0.31987603511576E+02, -0.2492377E+01,          16,  0.1492247E+05,         147
, 0.11583408473845E+03,-0.31987474931412E+02, -0.3593278E+01,          16,  0.3309082E+05,         148
, 0.11582392347889E+03,-0.31975836555832E+02, -0.2562634E+01,          16,  0.3476019E+05,         149
, 0.11582512548250E+03,-0.31977085624188E+02, -0.3967833E+01,          16,  0.3780541E+05,         150
, 0.11582595477695E+03,-0.31978327845887E+02, -0.4546457E+01,          16,  0.1815241E+05,         151
, 0.11582567246629E+03,-0.31979776745477E+02, -0.4711958E+01,          16,  0.3733452E+05,         152
, 0.11582550677538E+03,-0.31981040813374E+02, -0.4815204E+01,          16,  0.1595235E+05,         153
, 0.11583103577652E+03,-0.31984757478416E+02, -0.4574152E+01,          16,  0.1604414E+05,         154
, 0.11582914167847E+03,-0.31984775569368E+02, -0.4987525E+01,          16,  0.2800695E+05,         155
, 0.11583028683916E+03,-0.31985993496031E+02, -0.4649683E+01,          16,  0.2995356E+05,         156
, 0.11582584414760E+03,-0.31983206621617E+02, -0.4322334E+01,          16,  0.3382453E+05,         157
, 0.11582716244247E+03,-0.31984015979042E+02, -0.4737602E+01,          16,  0.1614487E+05,         158
, 0.11582386287959E+03,-0.31981183336022E+02, -0.4498187E+01,          16,  0.3662644E+05,         159
, 0.11582440644258E+03,-0.31982478813046E+02, -0.4391315E+01,          16,  0.1614876E+05,         160
, 0.11582699272510E+03,-0.31985328207596E+02, -0.3590520E+01,          16,  0.2752607E+05,         161
, 0.11582821044316E+03,-0.31985558911316E+02, -0.4134569E+01,          16,  0.1171785E+05,         162
, 0.11583256326706E+03,-0.31986202090590E+02, -0.3641036E+01,          16,  0.2906418E+05,         163
, 0.11583129877824E+03,-0.31986697512010E+02, -0.4739888E+01,          16,  0.1458144E+05,         164
, 0.11583278577672E+03,-0.31987622944782E+02, -0.4581212E+01,          16,  0.1340492E+05,         165
, 0.11584441144290E+03,-0.31986699712142E+02, -0.1431240E+01,          16,  0.1587805E+05,         166
, 0.11584577243398E+03,-0.31986372921752E+02, -0.1683094E+01,          16,  0.3195042E+05,         167
, 0.11584311789910E+03,-0.31988225988787E+02, -0.2443660E+01,          16,  0.3194465E+05,         168
, 0.11584487011186E+03,-0.31988075513418E+02, -0.2435539E+01,          16,  0.3254126E+05,         169
, 0.11584758377776E+03,-0.31986244167668E+02, -0.1244773E+01,          16,  0.3200082E+05,         170
, 0.11584940499512E+03,-0.31986064532304E+02, -0.3457746E+00,          16,  0.3386314E+05,         171
, 0.11584188744274E+03,-0.31988657511710E+02, -0.2419159E+01,          16,  0.1487789E+05,         172
, 0.11583890444360E+03,-0.31988126345753E+02, -0.2064397E+01,          16,  0.1030407E+05,         173
, 0.11583988773592E+03,-0.31989016816077E+02, -0.2126900E+01,          16,  0.2988795E+05,         174
, 0.11584084710937E+03,-0.31990014745812E+02, -0.2730735E+01,          16,  0.1322272E+05,         175
, 0.11584185211031E+03,-0.31989679245038E+02, -0.3117626E+01,          16,  0.1232210E+05,         176
, 0.11585097066637E+03,-0.31985548493042E+02, -0.4966518E-01,          16,  0.3256930E+05,         177
, 0.11583765972109E+03,-0.31988740774358E+02, -0.2938402E+01,          16,  0.2501047E+05,         178
, 0.11583525881497E+03,-0.31989236469441E+02, -0.4962476E+01,          16,  0.3215508E+05,         179
, 0.11583660611016E+03,-0.31989489878700E+02, -0.4518860E+01,          16,  0.1424646E+05,         180
, 0.11583397977782E+03,-0.31988992812020E+02, -0.5216511E+01,          16,  0.1644005E+05,         181
, 0.11583205449002E+03,-0.31988819545114E+02, -0.5234671E+01,          16,  0.2960596E+05,         182
, 0.11583305278635E+03,-0.31990212500840E+02, -0.5735446E+01,          16,  0.3167600E+05,         183
, 0.11582271273094E+03,-0.31977383751941E+02, -0.3305026E+01,          16,  0.3669151E+05,         184
, 0.11582391244447E+03,-0.31978110979129E+02, -0.4204142E+01,          16,  0.1630666E+05,         185
, 0.11582372700165E+03,-0.31979513738554E+02, -0.4393485E+01,          16,  0.3378584E+05,         186
, 0.11582791476523E+03,-0.31986910916503E+02, -0.2391258E+01,          16,  0.2708581E+05,         187
, 0.11582928171508E+03,-0.31987474371769E+02, -0.3411298E+01,          16,  0.2997443E+05,         188
, 0.11583069860553E+03,-0.31988033676766E+02, -0.4552947E+01,          16,  0.2943792E+05,         189
, 0.11582523144296E+03,-0.31984394578927E+02, -0.3341927E+01,          16,  0.1506541E+05,         190
, 0.11582565411001E+03,-0.31985366212098E+02, -0.2702529E+01,          16,  0.1491329E+05,         191
, 0.11582308076555E+03,-0.31983193258495E+02, -0.3186958E+01,          16,  0.3822883E+05,         192
, 0.11582405577728E+03,-0.31984297013133E+02, -0.2362368E+01,          16,  0.1745669E+05,         193
, 0.11582204048639E+03,-0.31981644206244E+02, -0.3729215E+01,          16,  0.3455286E+05,         194
, 0.11582195612092E+03,-0.31979029643347E+02, -0.3372184E+01,          16,  0.3287267E+05,         195
, 0.11582146077639E+03,-0.31980298478907E+02, -0.3099896E+01,          16,  0.1488319E+05,         196
, 0.11582678777740E+03,-0.31986646744598E+02, -0.2031615E+01,          16,  0.1070121E+05,         197
, 0.11582563528480E+03,-0.31987305107188E+02, -0.1277950E+01,          16,  0.2681861E+05,         198
, 0.11584670625642E+03,-0.31987993519578E+02, -0.2298164E+01,          16,  0.3194580E+05,         199
, 0.11584850955975E+03,-0.31987862992844E+02, -0.1565971E+01,          16,  0.3227974E+05,         200
, 0.11584403287537E+03,-0.31989939944579E+02, -0.4499240E+01,          16,  0.3464220E+05,         201
, 0.11584534844300E+03,-0.31989370778812E+02, -0.4008317E+01,          16,  0.1407367E+05,         202
, 0.11584272910793E+03,-0.31990326978977E+02, -0.4126247E+01,          16,  0.1719067E+05,         203
