FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.11532738279072E+03,-0.32442932297193E+02, -0.9999900E+05,  0.1035347E+06,  0.1431169E+06,       15760,           0,1,           1
, 0.11533175279060E+03,-0.32465778496557E+02, -0.9999900E+05,  0.1061080E+06,  0.1431169E+06,       15761,           0,1,           1
, 0.11533837179042E+03,-0.32488050795938E+02, -0.9999900E+05,  0.1086612E+06,  0.1431169E+06,       16059,           0,1,           1
, 0.11534758379016E+03,-0.32509369195344E+02, -0.9999900E+05,  0.1111842E+06,  0.1431169E+06,       16360,           0,1,           1
, 0.11535918078984E+03,-0.32529523194784E+02, -0.9999900E+05,  0.1136751E+06,  0.1431169E+06,       16361,           0,1,           1
, 0.11537254978947E+03,-0.32548564494254E+02, -0.9999900E+05,  0.1161355E+06,  0.1431169E+06,       16663,           0,1,           1
, 0.11538729778906E+03,-0.32566572993753E+02, -0.9999900E+05,  0.1185687E+06,  0.1431169E+06,       16971,           0,1,           1
, 0.11540301978862E+03,-0.32583742793275E+02, -0.9999900E+05,  0.1209802E+06,  0.1431169E+06,       17282,           0,1,           1
, 0.11541260078835E+03,-0.32592105393042E+02, -0.9999900E+05,  0.1222726E+06,  0.1431169E+06,       17599,           0,1,           1
, 0.11542232778808E+03,-0.32600062192821E+02, -0.9999900E+05,  0.1235427E+06,  0.1431169E+06,       17924,           0,1,           1
, 0.11543231478780E+03,-0.32607443192615E+02, -0.9999900E+05,  0.1247872E+06,  0.1431169E+06,       18245,           0,1,           1
, 0.11544252978752E+03,-0.32614251192426E+02, -0.9999900E+05,  0.1260073E+06,  0.1431169E+06,       18588,           0,1,           1
, 0.11545285678723E+03,-0.32620619392249E+02, -0.9999900E+05,  0.1272060E+06,  0.1431169E+06,       18938,           0,1,           1
, 0.11546350378694E+03,-0.32626134792095E+02, -0.9999900E+05,  0.1283766E+06,  0.1431169E+06,       18940,           0,1,           1
, 0.11547417978664E+03,-0.32631280191952E+02, -0.9999900E+05,  0.1295285E+06,  0.1431169E+06,       19326,           0,1,           1
, 0.11548492978634E+03,-0.32635930891822E+02, -0.9999900E+05,  0.1306602E+06,  0.1431169E+06,       19336,           0,1,           1
, 0.11549567878604E+03,-0.32640229491703E+02, -0.9999900E+05,  0.1317745E+06,  0.1431169E+06,       19732,           0,1,           1
, 0.11550637978574E+03,-0.32644278291590E+02, -0.9999900E+05,  0.1328729E+06,  0.1431169E+06,       20117,           0,1,           1
, 0.11551704178545E+03,-0.32648044791485E+02, -0.9999900E+05,  0.1339555E+06,  0.1431169E+06,       20506,           0,1,           1
, 0.11552761178515E+03,-0.32651676291384E+02, -0.9999900E+05,  0.1350243E+06,  0.1431169E+06,       20895,           0,1,           1
, 0.11553809078486E+03,-0.32655169291287E+02, -0.9999900E+05,  0.1360794E+06,  0.1431169E+06,       21289,           0,1,           1
, 0.11554846978457E+03,-0.32658554691193E+02, -0.9999900E+05,  0.1371215E+06,  0.1431169E+06,       21299,           0,1,           1
, 0.11555873778429E+03,-0.32661866491101E+02, -0.9999900E+05,  0.1381508E+06,  0.1431169E+06,       21701,           0,1,           1
